cell_0_0,cell_0_1,cell_0_2,cell_0_3,cell_0_4,cell_0_5,cell_0_6,cell_1_0,cell_1_1,cell_1_2,cell_1_3,cell_1_4,cell_1_5,cell_1_6,cell_2_0,cell_2_1,cell_2_2,cell_2_3,cell_2_4,cell_2_5,cell_2_6,cell_3_0,cell_3_1,cell_3_2,cell_3_3,cell_3_4,cell_3_5,cell_3_6,cell_4_0,cell_4_1,cell_4_2,cell_4_3,cell_4_4,cell_4_5,cell_4_6,cell_5_0,cell_5_1,cell_5_2,cell_5_3,cell_5_4,cell_5_5,cell_5_6,current_player,threats_me,threats_opp,center_me,center_opp,phase,can_win,opp_wins_next,best_move,is_proven
1,1,2,1,0,0,0,0,2,1,2,0,0,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,0,0,drop_1,1
1,1,2,1,0,0,0,0,2,1,2,0,0,0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,1,0,0,drop_0,1
1,1,2,1,0,0,0,2,2,1,2,0,0,0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,1,0,1,drop_3,1
1,1,2,1,0,0,0,2,2,1,2,0,0,0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,1,0,0,drop_0,1
1,1,2,1,0,0,0,2,2,1,2,0,0,0,2,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,1,0,0,drop_0,1
1,1,2,1,0,0,0,2,2,1,2,0,0,0,2,2,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,4,5,1,0,1,drop_6,1
1,1,2,1,0,0,2,2,2,1,2,0,0,0,2,2,1,1,0,0,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,1,1,0,pop_1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_4,0
0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,drop_4,0
0,0,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,drop_4,0
0,0,0,1,2,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,0,0,0,drop_5,0
0,0,0,1,2,1,0,0,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,0,0,drop_4,0
0,0,0,1,2,1,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,1,0,0,drop_4,0
0,0,0,1,2,1,0,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,0,0,drop_6,1
0,0,0,1,2,1,1,0,0,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,1,0,0,drop_5,1
0,0,0,1,2,1,1,0,0,0,2,1,2,0,0,0,0,1,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,4,1,0,0,drop_5,1
0,0,0,1,2,1,1,0,0,0,2,1,2,0,0,0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,4,1,0,0,drop_6,1
0,0,0,1,2,1,1,0,0,0,2,1,2,2,0,0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,4,1,0,1,drop_3,1
0,0,0,1,2,1,1,0,0,0,2,1,2,2,0,0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,4,5,1,0,0,drop_6,1
0,0,0,1,2,1,1,0,0,0,2,1,2,2,0,0,0,1,1,2,2,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,1,0,0,drop_6,1
0,0,0,1,2,1,1,0,0,0,2,1,2,2,0,0,0,1,1,2,2,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,4,5,1,0,1,drop_0,1
2,0,0,1,2,1,1,0,0,0,2,1,2,2,0,0,0,1,1,2,2,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,5,4,1,1,0,pop_5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_2,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_2,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,drop_3,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,drop_2,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,drop_3,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,drop_3,0
0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,1,0,0,drop_4,0
0,0,1,2,2,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,0,0,drop_2,0
0,0,1,2,2,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,6,1,0,1,drop_2,0
0,0,1,2,2,0,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,6,6,1,0,0,drop_6,0
0,0,1,2,2,0,1,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,6,6,1,0,0,drop_4,0
0,0,1,2,2,0,1,0,0,2,1,2,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,0,6,7,1,0,0,drop_0,0
1,0,1,2,2,0,1,0,0,2,1,2,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,0,1,7,6,1,0,0,drop_4,1
1,0,1,2,2,0,1,0,0,2,1,2,0,0,0,0,1,2,2,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,6,8,1,0,1,drop_4,1
1,0,1,2,2,0,1,0,0,2,1,2,0,0,0,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,1,8,7,1,0,0,drop_4,1
1,0,1,2,2,0,1,0,0,2,1,2,0,2,0,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,1,7,8,1,0,0,drop_0,1
1,0,1,2,2,0,1,1,0,2,1,2,0,2,0,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,1,8,7,1,0,0,drop_5,1
1,0,1,2,2,2,1,1,0,2,1,2,0,2,0,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,3,7,8,1,0,0,drop_0,1
1,0,1,2,2,2,1,1,0,2,1,2,0,2,1,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,3,2,8,7,1,0,1,drop_0,1
1,0,1,2,2,2,1,1,0,2,1,2,0,2,1,0,1,2,2,0,0,2,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,2,3,7,8,1,0,0,pop_0,1
1,0,1,2,2,2,1,1,0,2,1,2,0,2,2,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,3,1,8,7,1,0,0,drop_5,1
1,0,1,2,2,2,1,1,0,2,1,2,2,2,2,0,1,2,2,0,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,1,3,7,8,1,0,1,drop_0,1
1,0,1,2,2,2,1,1,0,2,1,2,2,2,2,0,1,2,2,0,0,1,0,1,2,1,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,3,1,8,7,1,1,0,pop_3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_4,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_4,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_4,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,drop_3,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,drop_4,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,drop_3,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,drop_3,0
0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,1,0,0,drop_2,0
0,0,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,0,0,drop_4,0
0,0,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,5,6,1,0,1,drop_4,0
0,0,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,6,6,1,0,0,drop_0,0
1,0,2,2,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,1,6,6,1,0,0,drop_2,0
1,0,2,2,1,0,0,0,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,6,7,1,0,0,drop_6,0
1,0,2,2,1,0,1,0,0,2,1,2,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,0,1,7,6,1,0,0,drop_2,1
1,0,2,2,1,0,1,0,0,2,1,2,0,0,0,0,2,2,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,1,6,8,1,0,1,drop_2,1
1,0,2,2,1,0,1,0,0,2,1,2,0,0,0,0,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,1,8,7,1,0,0,drop_2,1
1,0,2,2,1,0,1,2,0,2,1,2,0,0,0,0,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,1,7,8,1,0,0,drop_6,1
1,0,2,2,1,0,1,2,0,2,1,2,0,1,0,0,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,1,8,7,1,0,0,drop_1,1
1,2,2,2,1,0,1,2,0,2,1,2,0,1,0,0,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,3,7,8,1,0,0,drop_6,1
1,2,2,2,1,0,1,2,0,2,1,2,0,1,0,0,2,2,1,0,1,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,2,8,7,1,0,1,drop_6,1
1,2,2,2,1,0,1,2,0,2,1,2,0,1,0,0,2,2,1,0,1,0,0,1,2,1,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,2,3,7,8,1,0,0,pop_6,1
1,2,2,2,1,0,1,2,0,2,1,2,0,1,0,0,2,2,1,0,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,1,8,7,1,0,0,drop_1,1
1,2,2,2,1,0,1,2,2,2,1,2,0,1,0,0,2,2,1,0,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,1,3,7,8,1,0,1,drop_6,1
1,2,2,2,1,0,1,2,2,2,1,2,0,1,0,0,2,2,1,0,2,0,0,1,2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,1,8,7,1,1,0,pop_3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_2,0
0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,drop_4,0
0,0,1,1,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,drop_4,0
0,0,1,1,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,drop_2,0
0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,drop_2,0
0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,1,0,0,drop_2,0
0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,0,0,drop_2,1
0,0,1,1,2,0,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,6,1,0,0,drop_5,1
0,0,1,1,2,2,0,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,1,0,0,drop_4,1
0,0,1,1,2,2,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,7,1,0,0,drop_1,1
0,2,1,1,2,2,0,0,0,2,2,1,0,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,5,1,0,0,drop_5,1
0,2,1,1,2,2,0,0,0,2,2,1,1,0,0,0,1,1,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,7,1,0,1,drop_5,1
0,2,1,1,2,2,0,0,0,2,2,1,1,0,0,0,1,1,1,2,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,5,1,0,0,drop_3,1
0,2,1,1,2,2,0,0,0,2,2,1,1,0,0,0,1,1,1,2,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,5,8,1,0,1,pop_4,1
0,2,1,1,1,2,0,0,0,2,2,1,1,0,0,0,1,1,0,2,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,8,4,1,0,0,drop_4,1
0,2,1,1,1,2,0,0,0,2,2,1,1,0,0,0,1,1,1,2,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,3,4,9,1,0,1,pop_1,1
0,0,1,1,1,2,0,0,0,2,2,1,1,0,0,0,1,1,1,2,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,9,4,1,1,0,drop_1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_4,0
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,drop_2,0
0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,drop_2,0
0,0,2,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,0,0,0,drop_4,0
0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,drop_4,0
0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,1,0,0,drop_4,0
0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,0,0,drop_4,1
0,0,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,5,6,1,0,0,drop_1,1
0,2,2,1,1,0,0,0,0,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,5,1,0,0,drop_2,1
0,2,2,1,1,0,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,7,1,0,0,drop_5,1
0,2,2,1,1,2,0,0,0,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,5,1,0,0,drop_1,1
0,2,2,1,1,2,0,0,1,1,2,2,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,5,7,1,0,1,drop_1,1
0,2,2,1,1,2,0,0,1,1,2,2,0,0,0,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,7,5,1,0,0,drop_3,1
0,2,2,1,1,2,0,0,1,1,2,2,0,0,0,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,5,8,1,0,1,pop_2,1
0,2,1,1,1,2,0,0,1,1,2,2,0,0,0,2,0,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,8,4,1,0,0,drop_2,1
0,2,1,1,1,2,0,0,1,1,2,2,0,0,0,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,3,4,9,1,0,1,pop_5,1
0,2,1,1,1,0,0,0,1,1,2,2,0,0,0,2,1,1,1,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,0,9,4,1,1,0,drop_5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,drop_3,0
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,drop_4,0
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,0,drop_2,0
0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,drop_2,0
